,_id,_full_text,SEMESTER,RACE/ETHNICITY,COUNT_ENROLLEES,IN_2019_20_PLUS_POP,ENROLLEES_PER_100K_POP
0,1,'2020':2 '2125':4 '4298958':5 '49.4305829459139':6 'fall':1 'white':3,Fall 2020,White,2125,4298958,49.4305829459139
1,2,'175':4 '2020':2 '290857':5 '60.1670236576737':6 'fall':1 'hispanic/latino':3,Fall 2020,Hispanic/Latino,175,290857,60.1670236576737
2,3,'2019':2 '21.0748744230579':6 '4298958':5 '906':4 'fall':1 'white':3,Fall 2019,White,906,4298958,21.0748744230579
3,4,'126697':5 '2020':2 '46.5677956068415':6 '59':4 'asian':3 'fall':1,Fall 2020,Asian,59,126697,46.5677956068415
4,5,'2020':2 '345':4 '4298958':5 '8.0252005253366':6 'summer':1 'white':3,Summer 2020,White,345,4298958,8.0252005253366
5,6,'16':4 '2020':2 '290857':5 '5.50098502013017':6 'hispanic/latino':3 'summer':1,Summer 2020,Hispanic/Latino,16,290857,5.50098502013017
6,7,'18.9813438512309':6 '2020':2 '4298958':5 '816':4 'spring':1 'white':3,Spring 2020,White,816,4298958,18.9813438512309
7,8,'143.499928682264':6 '2020':2 '462718':5 '664':4 'black':3 'fall':1,Fall 2020,Black,664,462718,143.499928682264
8,9,'1067':4 '2020':2 '21.437975837171':6 '4977149':5 'spring':1,Spring 2020,All,1067,4977149,21.437975837171
9,10,'1136':4 '2019':2 '22.8243116691905':6 '4977149':5 'fall':1,Fall 2019,All,1136,4977149,22.8243116691905
10,11,"'126697':5 '2019':2 'asian':3 'fall':1 'suppress':4,6",Fall 2019,Asian,Suppressed,126697,Suppressed
11,12,'12.0334047315347':6 '2019':2 '290857':5 '35':4 'fall':1 'hispanic/latino':3,Fall 2019,Hispanic/Latino,35,290857,12.0334047315347
12,13,'11.3457816040185':6 '2020':2 '290857':5 '33':4 'hispanic/latino':3 'spring':1,Spring 2020,Hispanic/Latino,33,290857,11.3457816040185
13,14,'135':4 '2020':2 '29.1754373073881':6 '462718':5 'black':3 'spring':1,Spring 2020,Black,135,462718,29.1754373073881
14,15,'131':4 '2019':2 '28.3109799056877':6 '462718':5 'black':3 'fall':1,Fall 2019,Black,131,462718,28.3109799056877
15,16,'2020':2 '466':4 '4977149':5 '9.36278982204471':6 'summer':1,Summer 2020,All,466,4977149,9.36278982204471
16,17,'14.4796614784815':6 '2020':2 '462718':5 '67':4 'black':3 'summer':1,Summer 2020,Black,67,462718,14.4796614784815
17,18,"'126697':5 '2020':2 'asian':3 'summer':1 'suppress':4,6",Summer 2020,Asian,Suppressed,126697,Suppressed
18,19,"'126697':5 '2020':2 'asian':3 'spring':1 'suppress':4,6",Spring 2020,Asian,Suppressed,126697,Suppressed
19,20,'2020':2 '3376':4 '4977149':5 '67.829996650693':6 'fall':1,Fall 2020,All,3376,4977149,67.829996650693
