,_id,_full_text,YEAR,County FIPS,Geography,RACE,Claimant Count
0,1,'1':2 '2015':1 'adam':3 'alaska':7 'american':4 'indian':5 'nativ':8 'suppress':9,2015,1,Adams,American Indian or Alaska Native,Suppressed
1,2,'1':2 '2015':1 'adam':3 'asian':4 'suppress':5,2015,1,Adams,Asian,Suppressed
2,3,'1':2 '2015':1 'adam':3 'black':4 'suppress':5,2015,1,Adams,Black,Suppressed
3,4,'1':2 '17':8 '2015':1 'adam':3 'answer':7 'chose':4,2015,1,Adams,Chose Not To Answer,17
4,5,'1':2 '2015':1 'adam':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,1,Adams,Hawaiian Native or Pacific Islander,Suppressed
5,6,'1':2 '2015':1 '50':5 'adam':3,2015,1,Adams,Other,50
6,7,'1':2 '2015':1 '966':5 'adam':3 'white':4,2015,1,Adams,White,966
7,8,'2015':1 '3':2 '73':9 'alaska':7 'allen':3 'american':4 'indian':5 'nativ':8,2015,3,Allen,American Indian or Alaska Native,73
8,9,'194':5 '2015':1 '3':2 'allen':3 'asian':4,2015,3,Allen,Asian,194
9,10,'2015':1 '2792':5 '3':2 'allen':3 'black':4,2015,3,Allen,Black,2792
10,11,'2015':1 '230':8 '3':2 'allen':3 'answer':7 'chose':4,2015,3,Allen,Chose Not To Answer,230
11,12,'19':9 '2015':1 '3':2 'allen':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7,2015,3,Allen,Hawaiian Native or Pacific Islander,19
12,13,'2015':1 '3':2 '847':5 'allen':3,2015,3,Allen,Other,847
13,14,'2015':1 '3':2 '8428':5 'allen':3 'white':4,2015,3,Allen,White,8428
14,15,'2015':1 '5':2 'alaska':7 'american':4 'bartholomew':3 'indian':5 'nativ':8 'suppress':9,2015,5,Bartholomew,American Indian or Alaska Native,Suppressed
15,16,'10':5 '2015':1 '5':2 'asian':4 'bartholomew':3,2015,5,Bartholomew,Asian,10
16,17,'2015':1 '5':2 '72':5 'bartholomew':3 'black':4,2015,5,Bartholomew,Black,72
17,18,'20':8 '2015':1 '5':2 'answer':7 'bartholomew':3 'chose':4,2015,5,Bartholomew,Chose Not To Answer,20
18,19,'2015':1 '5':2 'bartholomew':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,5,Bartholomew,Hawaiian Native or Pacific Islander,Suppressed
19,20,'2015':1 '5':2 '51':5 'bartholomew':3,2015,5,Bartholomew,Other,51
20,21,'1668':5 '2015':1 '5':2 'bartholomew':3 'white':4,2015,5,Bartholomew,White,1668
21,22,'2015':1 '7':2 'alaska':7 'american':4 'benton':3 'indian':5 'nativ':8 'suppress':9,2015,7,Benton,American Indian or Alaska Native,Suppressed
22,23,'2015':1 '7':2 'asian':4 'benton':3 'suppress':5,2015,7,Benton,Asian,Suppressed
23,24,'2015':1 '7':2 'benton':3 'black':4 'suppress':5,2015,7,Benton,Black,Suppressed
24,25,'2015':1 '7':2 'answer':7 'benton':3 'chose':4 'suppress':8,2015,7,Benton,Chose Not To Answer,Suppressed
25,26,'2015':1 '7':2 'benton':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,7,Benton,Hawaiian Native or Pacific Islander,Suppressed
26,27,'20':5 '2015':1 '7':2 'benton':3,2015,7,Benton,Other,20
27,28,'2015':1 '261':5 '7':2 'benton':3 'white':4,2015,7,Benton,White,261
28,29,'2015':1 '9':2 'alaska':7 'american':4 'blackford':3 'indian':5 'nativ':8 'suppress':9,2015,9,Blackford,American Indian or Alaska Native,Suppressed
29,30,'2015':1 '9':2 'asian':4 'blackford':3 'suppress':5,2015,9,Blackford,Asian,Suppressed
30,31,'2015':1 '9':2 'black':4 'blackford':3 'suppress':5,2015,9,Blackford,Black,Suppressed
31,32,'2015':1 '9':2 'answer':7 'blackford':3 'chose':4 'suppress':8,2015,9,Blackford,Chose Not To Answer,Suppressed
32,33,'2015':1 '9':2 'blackford':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,9,Blackford,Hawaiian Native or Pacific Islander,Suppressed
33,34,'2015':1 '9':2 'blackford':3 'suppress':5,2015,9,Blackford,Other,Suppressed
34,35,'2015':1 '480':5 '9':2 'blackford':3 'white':4,2015,9,Blackford,White,480
35,36,'11':2 '2015':1 'alaska':7 'american':4 'boon':3 'indian':5 'nativ':8 'suppress':9,2015,11,Boone,American Indian or Alaska Native,Suppressed
36,37,'11':2 '2015':1 '22':5 'asian':4 'boon':3,2015,11,Boone,Asian,22
37,38,'11':2 '2015':1 '37':5 'black':4 'boon':3,2015,11,Boone,Black,37
38,39,'11':2 '15':8 '2015':1 'answer':7 'boon':3 'chose':4,2015,11,Boone,Chose Not To Answer,15
39,40,'11':2 '2015':1 'boon':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,11,Boone,Hawaiian Native or Pacific Islander,Suppressed
40,41,'11':2 '2015':1 '28':5 'boon':3,2015,11,Boone,Other,28
41,42,'11':2 '1218':5 '2015':1 'boon':3 'white':4,2015,11,Boone,White,1218
42,43,'13':2 '2015':1 'alaska':7 'american':4 'brown':3 'indian':5 'nativ':8 'suppress':9,2015,13,Brown,American Indian or Alaska Native,Suppressed
43,44,'13':2 '2015':1 'asian':4 'brown':3 'suppress':5,2015,13,Brown,Asian,Suppressed
44,45,'13':2 '2015':1 'black':4 'brown':3 'suppress':5,2015,13,Brown,Black,Suppressed
45,46,'13':2 '2015':1 'answer':7 'brown':3 'chose':4 'suppress':8,2015,13,Brown,Chose Not To Answer,Suppressed
46,47,'13':2 '2015':1 'brown':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,13,Brown,Hawaiian Native or Pacific Islander,Suppressed
47,48,'13':2 '2015':1 'brown':3 'suppress':5,2015,13,Brown,Other,Suppressed
48,49,'13':2 '2015':1 '394':5 'brown':3 'white':4,2015,13,Brown,White,394
49,50,'15':2 '2015':1 'alaska':7 'american':4 'carrol':3 'indian':5 'nativ':8 'suppress':9,2015,15,Carroll,American Indian or Alaska Native,Suppressed
50,51,'15':2 '2015':1 'asian':4 'carrol':3 'suppress':5,2015,15,Carroll,Asian,Suppressed
51,52,'15':2 '2015':1 'black':4 'carrol':3 'suppress':5,2015,15,Carroll,Black,Suppressed
52,53,'15':2 '2015':1 'answer':7 'carrol':3 'chose':4 'suppress':8,2015,15,Carroll,Chose Not To Answer,Suppressed
53,54,'15':2 '2015':1 'carrol':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,15,Carroll,Hawaiian Native or Pacific Islander,Suppressed
54,55,'11':5 '15':2 '2015':1 'carrol':3,2015,15,Carroll,Other,11
55,56,'15':2 '2015':1 '405':5 'carrol':3 'white':4,2015,15,Carroll,White,405
56,57,'17':2 '2015':1 'alaska':7 'american':4 'cass':3 'indian':5 'nativ':8 'suppress':9,2015,17,Cass,American Indian or Alaska Native,Suppressed
57,58,'17':2 '2015':1 'asian':4 'cass':3 'suppress':5,2015,17,Cass,Asian,Suppressed
58,59,'17':2 '2015':1 '31':5 'black':4 'cass':3,2015,17,Cass,Black,31
59,60,'17':2 '2015':1 '23':8 'answer':7 'cass':3 'chose':4,2015,17,Cass,Chose Not To Answer,23
60,61,'17':2 '2015':1 'cass':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,17,Cass,Hawaiian Native or Pacific Islander,Suppressed
61,62,'17':2 '2015':1 '96':5 'cass':3,2015,17,Cass,Other,96
62,63,'1020':5 '17':2 '2015':1 'cass':3 'white':4,2015,17,Cass,White,1020
63,64,'16':9 '19':2 '2015':1 'alaska':7 'american':4 'clark':3 'indian':5 'nativ':8,2015,19,Clark,American Indian or Alaska Native,16
64,65,'19':2 '2015':1 'asian':4 'clark':3 'suppress':5,2015,19,Clark,Asian,Suppressed
65,66,'19':2 '2015':1 '263':5 'black':4 'clark':3,2015,19,Clark,Black,263
66,67,'19':2 '2015':1 '36':8 'answer':7 'chose':4 'clark':3,2015,19,Clark,Chose Not To Answer,36
67,68,'19':2 '2015':1 'clark':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,19,Clark,Hawaiian Native or Pacific Islander,Suppressed
68,69,'19':2 '2015':1 '84':5 'clark':3,2015,19,Clark,Other,84
69,70,'19':2 '2015':1 '2046':5 'clark':3 'white':4,2015,19,Clark,White,2046
70,71,'2015':1 '21':2 'alaska':7 'american':4 'clay':3 'indian':5 'nativ':8 'suppress':9,2015,21,Clay,American Indian or Alaska Native,Suppressed
71,72,'2015':1 '21':2 'asian':4 'clay':3 'suppress':5,2015,21,Clay,Asian,Suppressed
72,73,'2015':1 '21':2 'black':4 'clay':3 'suppress':5,2015,21,Clay,Black,Suppressed
73,74,'2015':1 '21':2 'answer':7 'chose':4 'clay':3 'suppress':8,2015,21,Clay,Chose Not To Answer,Suppressed
74,75,'2015':1 '21':2 'clay':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,21,Clay,Hawaiian Native or Pacific Islander,Suppressed
75,76,'2015':1 '21':2 'clay':3 'suppress':5,2015,21,Clay,Other,Suppressed
76,77,'2015':1 '21':2 '830':5 'clay':3 'white':4,2015,21,Clay,White,830
77,78,'2015':1 '23':2 'alaska':7 'american':4 'clinton':3 'indian':5 'nativ':8 'suppress':9,2015,23,Clinton,American Indian or Alaska Native,Suppressed
78,79,'2015':1 '23':2 'asian':4 'clinton':3 'suppress':5,2015,23,Clinton,Asian,Suppressed
79,80,'10':5 '2015':1 '23':2 'black':4 'clinton':3,2015,23,Clinton,Black,10
80,81,'2015':1 '23':2 '28':8 'answer':7 'chose':4 'clinton':3,2015,23,Clinton,Chose Not To Answer,28
81,82,'2015':1 '23':2 'clinton':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,23,Clinton,Hawaiian Native or Pacific Islander,Suppressed
82,83,'2015':1 '23':2 '95':5 'clinton':3,2015,23,Clinton,Other,95
83,84,'2015':1 '23':2 '825':5 'clinton':3 'white':4,2015,23,Clinton,White,825
84,85,'2015':1 '25':2 'alaska':7 'american':4 'crawford':3 'indian':5 'nativ':8 'suppress':9,2015,25,Crawford,American Indian or Alaska Native,Suppressed
85,86,'2015':1 '25':2 'asian':4 'crawford':3 'suppress':5,2015,25,Crawford,Asian,Suppressed
86,87,'2015':1 '25':2 'black':4 'crawford':3 'suppress':5,2015,25,Crawford,Black,Suppressed
87,88,'2015':1 '25':2 'answer':7 'chose':4 'crawford':3 'suppress':8,2015,25,Crawford,Chose Not To Answer,Suppressed
88,89,'2015':1 '25':2 'crawford':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,25,Crawford,Hawaiian Native or Pacific Islander,Suppressed
89,90,'2015':1 '25':2 'crawford':3 'suppress':5,2015,25,Crawford,Other,Suppressed
90,91,'2015':1 '25':2 '404':5 'crawford':3 'white':4,2015,25,Crawford,White,404
91,92,'2015':1 '27':2 'alaska':7 'american':4 'daviess':3 'indian':5 'nativ':8 'suppress':9,2015,27,Daviess,American Indian or Alaska Native,Suppressed
92,93,'2015':1 '27':2 'asian':4 'daviess':3 'suppress':5,2015,27,Daviess,Asian,Suppressed
93,94,'17':5 '2015':1 '27':2 'black':4 'daviess':3,2015,27,Daviess,Black,17
94,95,'2015':1 '27':2 'answer':7 'chose':4 'daviess':3 'suppress':8,2015,27,Daviess,Chose Not To Answer,Suppressed
95,96,'2015':1 '27':2 'daviess':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,27,Daviess,Hawaiian Native or Pacific Islander,Suppressed
96,97,'10':5 '2015':1 '27':2 'daviess':3,2015,27,Daviess,Other,10
97,98,'2015':1 '27':2 '558':5 'daviess':3 'white':4,2015,27,Daviess,White,558
98,99,'2015':1 '29':2 'alaska':7 'american':4 'dearborn':3 'indian':5 'nativ':8 'suppress':9,2015,29,Dearborn,American Indian or Alaska Native,Suppressed
99,100,'2015':1 '29':2 'asian':4 'dearborn':3 'suppress':5,2015,29,Dearborn,Asian,Suppressed
100,101,'13':5 '2015':1 '29':2 'black':4 'dearborn':3,2015,29,Dearborn,Black,13
101,102,'2015':1 '29':2 'answer':7 'chose':4 'dearborn':3 'suppress':8,2015,29,Dearborn,Chose Not To Answer,Suppressed
102,103,'2015':1 '29':2 'dearborn':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,29,Dearborn,Hawaiian Native or Pacific Islander,Suppressed
103,104,'2015':1 '29':2 'dearborn':3 'suppress':5,2015,29,Dearborn,Other,Suppressed
104,105,'2015':1 '29':2 '797':5 'dearborn':3 'white':4,2015,29,Dearborn,White,797
105,106,'2015':1 '31':2 'alaska':7 'american':4 'decatur':3 'indian':5 'nativ':8 'suppress':9,2015,31,Decatur,American Indian or Alaska Native,Suppressed
106,107,'2015':1 '31':2 'asian':4 'decatur':3 'suppress':5,2015,31,Decatur,Asian,Suppressed
107,108,'2015':1 '31':2 'black':4 'decatur':3 'suppress':5,2015,31,Decatur,Black,Suppressed
108,109,'2015':1 '31':2 'answer':7 'chose':4 'decatur':3 'suppress':8,2015,31,Decatur,Chose Not To Answer,Suppressed
109,110,'2015':1 '31':2 'decatur':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,31,Decatur,Hawaiian Native or Pacific Islander,Suppressed
110,111,'2015':1 '31':2 'decatur':3 'suppress':5,2015,31,Decatur,Other,Suppressed
111,112,'2015':1 '31':2 '763':5 'decatur':3 'white':4,2015,31,Decatur,White,763
112,113,'2015':1 '33':2 'alaska':8 'american':5 'de':3 'indian':6 'kalb':4 'nativ':9 'suppress':10,2015,33,De Kalb,American Indian or Alaska Native,Suppressed
113,114,'2015':1 '33':2 'asian':5 'de':3 'kalb':4 'suppress':6,2015,33,De Kalb,Asian,Suppressed
114,115,'13':6 '2015':1 '33':2 'black':5 'de':3 'kalb':4,2015,33,De Kalb,Black,13
115,116,'2015':1 '33':2 'answer':8 'chose':5 'de':3 'kalb':4 'suppress':9,2015,33,De Kalb,Chose Not To Answer,Suppressed
116,117,'2015':1 '33':2 'de':3 'hawaiian':5 'island':9 'kalb':4 'nativ':6 'pacif':8 'suppress':10,2015,33,De Kalb,Hawaiian Native or Pacific Islander,Suppressed
117,118,'2015':1 '33':2 '34':6 'de':3 'kalb':4,2015,33,De Kalb,Other,34
118,119,'1153':6 '2015':1 '33':2 'de':3 'kalb':4 'white':5,2015,33,De Kalb,White,1153
119,120,'18':9 '2015':1 '35':2 'alaska':7 'american':4 'delawar':3 'indian':5 'nativ':8,2015,35,Delaware,American Indian or Alaska Native,18
120,121,'2015':1 '35':2 'asian':4 'delawar':3 'suppress':5,2015,35,Delaware,Asian,Suppressed
121,122,'2015':1 '35':2 '483':5 'black':4 'delawar':3,2015,35,Delaware,Black,483
122,123,'2015':1 '26':8 '35':2 'answer':7 'chose':4 'delawar':3,2015,35,Delaware,Chose Not To Answer,26
123,124,'2015':1 '35':2 'delawar':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,35,Delaware,Hawaiian Native or Pacific Islander,Suppressed
124,125,'2015':1 '35':2 '84':5 'delawar':3,2015,35,Delaware,Other,84
125,126,'2015':1 '3289':5 '35':2 'delawar':3 'white':4,2015,35,Delaware,White,3289
126,127,'2015':1 '37':2 'alaska':7 'american':4 'duboi':3 'indian':5 'nativ':8 'suppress':9,2015,37,Dubois,American Indian or Alaska Native,Suppressed
127,128,'2015':1 '37':2 'asian':4 'duboi':3 'suppress':5,2015,37,Dubois,Asian,Suppressed
128,129,'2015':1 '37':2 'black':4 'duboi':3 'suppress':5,2015,37,Dubois,Black,Suppressed
129,130,'13':8 '2015':1 '37':2 'answer':7 'chose':4 'duboi':3,2015,37,Dubois,Chose Not To Answer,13
130,131,'2015':1 '37':2 'duboi':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,37,Dubois,Hawaiian Native or Pacific Islander,Suppressed
131,132,'2015':1 '31':5 '37':2 'duboi':3,2015,37,Dubois,Other,31
132,133,'2015':1 '37':2 '764':5 'duboi':3 'white':4,2015,37,Dubois,White,764
133,134,'2015':1 '39':2 'alaska':7 'american':4 'elkhart':3 'indian':5 'nativ':8 'suppress':9,2015,39,Elkhart,American Indian or Alaska Native,Suppressed
134,135,'2015':1 '39':2 '41':5 'asian':4 'elkhart':3,2015,39,Elkhart,Asian,41
135,136,'2015':1 '39':2 '714':5 'black':4 'elkhart':3,2015,39,Elkhart,Black,714
136,137,'123':8 '2015':1 '39':2 'answer':7 'chose':4 'elkhart':3,2015,39,Elkhart,Chose Not To Answer,123
137,138,'2015':1 '39':2 'elkhart':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,39,Elkhart,Hawaiian Native or Pacific Islander,Suppressed
138,139,'2015':1 '39':2 '507':5 'elkhart':3,2015,39,Elkhart,Other,507
139,140,'2015':1 '39':2 '4588':5 'elkhart':3 'white':4,2015,39,Elkhart,White,4588
140,141,'2015':1 '41':2 'alaska':7 'american':4 'fayett':3 'indian':5 'nativ':8 'suppress':9,2015,41,Fayette,American Indian or Alaska Native,Suppressed
141,142,'2015':1 '41':2 'asian':4 'fayett':3 'suppress':5,2015,41,Fayette,Asian,Suppressed
142,143,'2015':1 '23':5 '41':2 'black':4 'fayett':3,2015,41,Fayette,Black,23
143,144,'2015':1 '41':2 'answer':7 'chose':4 'fayett':3 'suppress':8,2015,41,Fayette,Chose Not To Answer,Suppressed
144,145,'2015':1 '41':2 'fayett':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,41,Fayette,Hawaiian Native or Pacific Islander,Suppressed
145,146,'2015':1 '41':2 'fayett':3 'suppress':5,2015,41,Fayette,Other,Suppressed
146,147,'2015':1 '41':2 '718':5 'fayett':3 'white':4,2015,41,Fayette,White,718
147,148,'2015':1 '43':2 'alaska':7 'american':4 'floyd':3 'indian':5 'nativ':8 'suppress':9,2015,43,Floyd,American Indian or Alaska Native,Suppressed
148,149,'2015':1 '43':2 'asian':4 'floyd':3 'suppress':5,2015,43,Floyd,Asian,Suppressed
149,150,'146':5 '2015':1 '43':2 'black':4 'floyd':3,2015,43,Floyd,Black,146
150,151,'15':8 '2015':1 '43':2 'answer':7 'chose':4 'floyd':3,2015,43,Floyd,Chose Not To Answer,15
151,152,'2015':1 '43':2 'floyd':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,43,Floyd,Hawaiian Native or Pacific Islander,Suppressed
152,153,'2015':1 '43':2 '51':5 'floyd':3,2015,43,Floyd,Other,51
153,154,'1225':5 '2015':1 '43':2 'floyd':3 'white':4,2015,43,Floyd,White,1225
154,155,'2015':1 '45':2 'alaska':7 'american':4 'fountain':3 'indian':5 'nativ':8 'suppress':9,2015,45,Fountain,American Indian or Alaska Native,Suppressed
155,156,'2015':1 '45':2 'asian':4 'fountain':3 'suppress':5,2015,45,Fountain,Asian,Suppressed
156,157,'2015':1 '45':2 'black':4 'fountain':3 'suppress':5,2015,45,Fountain,Black,Suppressed
157,158,'2015':1 '45':2 'answer':7 'chose':4 'fountain':3 'suppress':8,2015,45,Fountain,Chose Not To Answer,Suppressed
158,159,'2015':1 '45':2 'fountain':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,45,Fountain,Hawaiian Native or Pacific Islander,Suppressed
159,160,'13':5 '2015':1 '45':2 'fountain':3,2015,45,Fountain,Other,13
160,161,'2015':1 '45':2 '747':5 'fountain':3 'white':4,2015,45,Fountain,White,747
161,162,'2015':1 '47':2 'alaska':7 'american':4 'franklin':3 'indian':5 'nativ':8 'suppress':9,2015,47,Franklin,American Indian or Alaska Native,Suppressed
162,163,'2015':1 '47':2 'asian':4 'franklin':3 'suppress':5,2015,47,Franklin,Asian,Suppressed
163,164,'2015':1 '47':2 'black':4 'franklin':3 'suppress':5,2015,47,Franklin,Black,Suppressed
164,165,'2015':1 '47':2 'answer':7 'chose':4 'franklin':3 'suppress':8,2015,47,Franklin,Chose Not To Answer,Suppressed
165,166,'2015':1 '47':2 'franklin':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,47,Franklin,Hawaiian Native or Pacific Islander,Suppressed
166,167,'2015':1 '47':2 'franklin':3 'suppress':5,2015,47,Franklin,Other,Suppressed
167,168,'2015':1 '47':2 '680':5 'franklin':3 'white':4,2015,47,Franklin,White,680
168,169,'2015':1 '49':2 'alaska':7 'american':4 'fulton':3 'indian':5 'nativ':8 'suppress':9,2015,49,Fulton,American Indian or Alaska Native,Suppressed
169,170,'2015':1 '49':2 'asian':4 'fulton':3 'suppress':5,2015,49,Fulton,Asian,Suppressed
170,171,'2015':1 '49':2 'black':4 'fulton':3 'suppress':5,2015,49,Fulton,Black,Suppressed
171,172,'15':8 '2015':1 '49':2 'answer':7 'chose':4 'fulton':3,2015,49,Fulton,Chose Not To Answer,15
172,173,'2015':1 '49':2 'fulton':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,49,Fulton,Hawaiian Native or Pacific Islander,Suppressed
173,174,'11':5 '2015':1 '49':2 'fulton':3,2015,49,Fulton,Other,11
174,175,'2015':1 '49':2 '720':5 'fulton':3 'white':4,2015,49,Fulton,White,720
175,176,'2015':1 '51':2 'alaska':7 'american':4 'gibson':3 'indian':5 'nativ':8 'suppress':9,2015,51,Gibson,American Indian or Alaska Native,Suppressed
176,177,'2015':1 '51':2 'asian':4 'gibson':3 'suppress':5,2015,51,Gibson,Asian,Suppressed
177,178,'2015':1 '26':5 '51':2 'black':4 'gibson':3,2015,51,Gibson,Black,26
178,179,'2015':1 '51':2 'answer':7 'chose':4 'gibson':3 'suppress':8,2015,51,Gibson,Chose Not To Answer,Suppressed
179,180,'2015':1 '51':2 'gibson':3 'hawaiian':4 'island':8 'nativ':5 'pacif':7 'suppress':9,2015,51,Gibson,Hawaiian Native or Pacific Islander,Suppressed
180,181,'18':5 '2015':1 '51':2 'gibson':3,2015,51,Gibson,Other,18
181,182,'2015':1 '51':2 '898':5 'gibson':3 'white':4,2015,51,Gibson,White,898
182,183,'16':9 '2015':1 '53':2 'alaska':7 'american':4 'grant':3 'indian':5 'nativ':8,2015,53,Grant,American Indian or Alaska Native,16
183,184,'2015':1 '53':2 'asian':4 'grant':3 'suppress':5,2015,53,Grant,Asian,Suppressed
184,185,'2015':1 '280':5 '53':2 'black':4 'grant':3,2015,53,Grant,Black,280
